year,iu_code,prevalence (%),endemicity,therapeutic_coverage,total_population,population_requiring_treatment,population_treated,epidemiological_coverage (% of the population that required treatment and recieved such),mda_rounds,effective_mda_rounds (≥65% coverage),effective_mda_classification (≥65% coverage)
2014,NGA0377536337,,2.0,1.0,130800.0,130800.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377536337,,2.0,1.0,134238.0,134238.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377536337,,2.0,1.0,137594.0,137594.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377536337,,2.0,3.0,141034.0,141034.0,101972.0,72.3,1.0,1.0,1.0
2018,NGA0377536337,,2.0,3.0,144559.0,144559.0,101131.0,69.96,2.0,2.0,1.0
2019,NGA0377536337,,2.0,3.0,148173.0,148173.0,101553.0,68.54,3.0,3.0,1.0
2020,NGA0377536337,,2.0,1.0,151588.0,151588.0,0.0,0.0,3.0,3.0,0.0
2021,NGA0377536337,0.0,2.0,3.0,155514.0,155514.0,109354.0,70.32,4.0,4.0,1.0
2022,NGA0377536337,0.0,2.0,3.0,159567.0,159567.0,106140.0,66.52,5.0,5.0,1.0
2023,NGA0377536337,,1.0,4.0,163556.0,0.0,0.0,0.0,5.0,5.0,0.0
2014,NGA0377536338,,2.0,1.0,515777.0,515777.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377536338,,2.0,1.0,529333.0,529333.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377536338,,2.0,1.0,542566.0,542566.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377536338,,2.0,3.0,556131.0,556131.0,353898.0,63.64,1.0,1.0,1.0
2018,NGA0377536338,,2.0,3.0,570034.0,570034.0,411235.0,72.14,2.0,2.0,1.0
2019,NGA0377536338,,2.0,3.0,584285.0,584285.0,385323.0,65.95,3.0,3.0,1.0
2020,NGA0377536338,,2.0,1.0,597750.0,597750.0,0.0,0.0,3.0,3.0,0.0
2021,NGA0377536338,,2.0,3.0,613232.0,613232.0,436005.0,71.1,4.0,4.0,1.0
2022,NGA0377536338,0.0,2.0,3.0,629211.0,629211.0,420362.0,66.81,5.0,5.0,1.0
2023,NGA0377536338,,1.0,4.0,644941.0,0.0,0.0,0.0,5.0,5.0,0.0
2014,NGA0377536339,,2.0,2.0,207120.0,207120.0,56939.0,27.49,1.0,0.0,0.0
2015,NGA0377536339,,2.0,3.0,212564.0,212564.0,193753.0,91.15,2.0,1.0,1.0
2016,NGA0377536339,,2.0,3.0,217878.0,217878.0,169853.0,77.96,3.0,2.0,1.0
2017,NGA0377536339,,2.0,3.0,223325.0,223325.0,155443.0,69.6,4.0,3.0,1.0
2018,NGA0377536339,,2.0,3.0,228908.0,228908.0,166186.0,72.6,5.0,4.0,1.0
2019,NGA0377536339,,2.0,3.0,234631.0,234631.0,161367.0,68.77,6.0,5.0,1.0
2020,NGA0377536339,,2.0,1.0,240038.0,240038.0,0.0,0.0,6.0,5.0,0.0
2021,NGA0377536339,0.0,2.0,3.0,246255.0,246255.0,182098.0,73.95,7.0,6.0,1.0
2022,NGA0377536339,0.0,2.0,3.0,252672.0,252672.0,165880.0,65.65,8.0,7.0,1.0
2023,NGA0377536339,,1.0,4.0,258989.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0377536340,,2.0,2.0,233776.0,233776.0,64286.0,27.5,1.0,0.0,0.0
2015,NGA0377536340,,2.0,3.0,239920.0,239920.0,171390.0,71.44,2.0,1.0,1.0
2016,NGA0377536340,,2.0,3.0,245918.0,245918.0,191558.0,77.9,3.0,2.0,1.0
2017,NGA0377536340,,2.0,3.0,252066.0,252066.0,190480.0,75.57,4.0,3.0,1.0
2018,NGA0377536340,,2.0,3.0,258368.0,258368.0,203021.0,78.58,5.0,4.0,1.0
2019,NGA0377536340,,2.0,3.0,264827.0,264827.0,176453.0,66.63,6.0,5.0,1.0
2020,NGA0377536340,,2.0,1.0,270930.0,270930.0,0.0,0.0,6.0,5.0,0.0
2021,NGA0377536340,0.0,2.0,3.0,277947.0,277947.0,209480.0,75.37,7.0,6.0,1.0
2022,NGA0377536340,0.0,2.0,3.0,285190.0,285190.0,188795.0,66.2,8.0,7.0,1.0
2023,NGA0377536340,,1.0,4.0,292320.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0377536341,,2.0,2.0,167921.0,167921.0,39083.0,23.27,1.0,0.0,0.0
2015,NGA0377536341,,2.0,3.0,172334.0,172334.0,113595.0,65.92,2.0,1.0,1.0
2016,NGA0377536341,,2.0,3.0,176643.0,176643.0,135679.0,76.81,3.0,2.0,1.0
2017,NGA0377536341,,2.0,3.0,181059.0,181059.0,142106.0,78.49,4.0,3.0,1.0
2018,NGA0377536341,,2.0,3.0,185585.0,185585.0,147643.0,79.56,5.0,4.0,1.0
2019,NGA0377536341,,2.0,3.0,190225.0,190225.0,129771.0,68.22,6.0,5.0,1.0
2020,NGA0377536341,,2.0,1.0,194609.0,194609.0,0.0,0.0,6.0,5.0,0.0
2021,NGA0377536341,0.0,2.0,3.0,199649.0,199649.0,150244.0,75.25,7.0,6.0,1.0
2022,NGA0377536341,0.0,2.0,3.0,204851.0,204851.0,134281.0,65.55,8.0,7.0,1.0
2023,NGA0377536341,,1.0,4.0,209973.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0377536342,,2.0,2.0,187076.0,187076.0,6962.0,3.72,1.0,0.0,0.0
2015,NGA0377536342,,2.0,2.0,191993.0,191993.0,7200.0,3.75,2.0,0.0,0.0
2016,NGA0377536342,,2.0,3.0,196793.0,196793.0,148713.0,75.57,3.0,1.0,1.0
2017,NGA0377536342,,2.0,3.0,201712.0,201712.0,128809.0,63.86,4.0,2.0,1.0
2018,NGA0377536342,,2.0,3.0,206755.0,206755.0,145743.0,70.49,5.0,3.0,1.0
2019,NGA0377536342,,2.0,3.0,211924.0,211924.0,144945.0,68.39,6.0,4.0,1.0
2020,NGA0377536342,,2.0,1.0,216808.0,216808.0,0.0,0.0,6.0,4.0,0.0
2021,NGA0377536342,0.0,2.0,3.0,222423.0,222423.0,171616.0,77.16,7.0,5.0,1.0
2022,NGA0377536342,0.0,2.0,3.0,228219.0,228219.0,151165.0,66.24,8.0,6.0,1.0
2023,NGA0377536342,,1.0,4.0,233924.0,0.0,0.0,0.0,8.0,6.0,0.0
2014,NGA0377536343,,2.0,2.0,163989.0,163989.0,6917.0,4.22,1.0,0.0,0.0
2015,NGA0377536343,,2.0,2.0,168299.0,168299.0,7029.0,4.18,2.0,0.0,0.0
2016,NGA0377536343,,2.0,3.0,172507.0,172507.0,135134.0,78.34,3.0,1.0,1.0
2017,NGA0377536343,,2.0,3.0,176819.0,176819.0,140567.0,79.5,4.0,2.0,1.0
2018,NGA0377536343,,2.0,3.0,181240.0,181240.0,143303.0,79.07,5.0,3.0,1.0
2019,NGA0377536343,,2.0,3.0,185771.0,185771.0,130319.0,70.15,6.0,4.0,1.0
2020,NGA0377536343,,2.0,1.0,190052.0,190052.0,0.0,0.0,6.0,4.0,0.0
2021,NGA0377536343,0.0,2.0,3.0,194975.0,194975.0,149987.0,76.93,7.0,5.0,1.0
2022,NGA0377536343,0.0,2.0,3.0,200055.0,200055.0,130807.0,65.39,8.0,6.0,1.0
2023,NGA0377536343,,1.0,4.0,205056.0,0.0,0.0,0.0,8.0,6.0,0.0
2014,NGA0377536344,,2.0,2.0,139262.0,139262.0,50662.0,36.38,1.0,0.0,0.0
2015,NGA0377536344,,2.0,3.0,142922.0,142922.0,97126.0,67.96,2.0,1.0,1.0
2016,NGA0377536344,,2.0,3.0,146495.0,146495.0,97090.0,66.28,3.0,2.0,1.0
2017,NGA0377536344,,2.0,3.0,150158.0,150158.0,104307.0,69.46,4.0,3.0,1.0
2018,NGA0377536344,,2.0,3.0,153912.0,153912.0,116974.0,76.0,5.0,4.0,1.0
2019,NGA0377536344,,2.0,3.0,157760.0,157760.0,109447.0,69.38,6.0,5.0,1.0
2020,NGA0377536344,,2.0,1.0,161395.0,161395.0,0.0,0.0,6.0,5.0,0.0
2021,NGA0377536344,0.0,2.0,3.0,165575.0,165575.0,120793.0,72.95,7.0,6.0,1.0
2022,NGA0377536344,0.0,2.0,3.0,169890.0,169890.0,114518.0,67.41,8.0,7.0,1.0
2023,NGA0377536344,,1.0,4.0,174137.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0377536345,,2.0,1.0,220790.0,220790.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377536345,,2.0,1.0,226592.0,226592.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377536345,,2.0,1.0,232257.0,232257.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377536345,,2.0,3.0,238064.0,238064.0,153985.0,64.68,1.0,1.0,1.0
2018,NGA0377536345,,2.0,3.0,244015.0,244015.0,171044.0,70.1,2.0,2.0,1.0
2019,NGA0377536345,,2.0,3.0,250116.0,250116.0,173458.0,69.35,3.0,3.0,1.0
2020,NGA0377536345,,2.0,1.0,255880.0,255880.0,0.0,0.0,3.0,3.0,0.0
2021,NGA0377536345,0.16,2.0,3.0,262507.0,262507.0,178820.0,68.12,4.0,4.0,1.0
2022,NGA0377536345,0.09,2.0,2.0,269347.0,269347.0,35133.0,13.04,5.0,4.0,0.0
2023,NGA0377536345,,1.0,4.0,276081.0,0.0,0.0,0.0,5.0,4.0,0.0
2014,NGA0377536346,,2.0,2.0,298311.0,298311.0,50976.0,17.09,1.0,0.0,0.0
2015,NGA0377536346,,2.0,3.0,306151.0,306151.0,227275.0,74.24,2.0,1.0,1.0
2016,NGA0377536346,,2.0,3.0,313805.0,313805.0,238656.0,76.05,3.0,2.0,1.0
2017,NGA0377536346,,2.0,3.0,321650.0,321650.0,232536.0,72.29,4.0,3.0,1.0
2018,NGA0377536346,,2.0,3.0,329691.0,329691.0,243083.0,73.73,5.0,4.0,1.0
2019,NGA0377536346,,2.0,3.0,337934.0,337934.0,232689.0,68.86,6.0,5.0,1.0
2020,NGA0377536346,,2.0,1.0,345722.0,345722.0,0.0,0.0,6.0,5.0,0.0
2021,NGA0377536346,0.0,2.0,3.0,354676.0,354676.0,256085.0,72.2,7.0,6.0,1.0
2022,NGA0377536346,0.0,2.0,3.0,363918.0,363918.0,241119.0,66.26,8.0,7.0,1.0
2023,NGA0377536346,,1.0,4.0,373016.0,0.0,0.0,0.0,8.0,7.0,0.0
2014,NGA0377536347,,2.0,1.0,267266.0,267266.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377536347,,2.0,1.0,274290.0,274290.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377536347,,2.0,1.0,281148.0,281148.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377536347,,2.0,3.0,288176.0,288176.0,224154.0,77.78,1.0,1.0,1.0
2018,NGA0377536347,,2.0,3.0,295381.0,295381.0,209087.0,70.79,2.0,2.0,1.0
2019,NGA0377536347,,2.0,3.0,302765.0,302765.0,198941.0,65.71,3.0,3.0,1.0
2020,NGA0377536347,,2.0,1.0,309743.0,309743.0,0.0,0.0,3.0,3.0,0.0
2021,NGA0377536347,0.16,2.0,3.0,317765.0,317765.0,246171.0,77.47,4.0,4.0,1.0
2022,NGA0377536347,0.0,2.0,3.0,326045.0,326045.0,282108.0,86.52,5.0,5.0,1.0
2023,NGA0377536347,,1.0,4.0,334196.0,0.0,0.0,0.0,5.0,5.0,0.0
2014,NGA0377536348,,2.0,1.0,100536.0,100536.0,0.0,0.0,0.0,0.0,0.0
2015,NGA0377536348,,2.0,1.0,103179.0,103179.0,0.0,0.0,0.0,0.0,0.0
2016,NGA0377536348,,2.0,1.0,105758.0,105758.0,0.0,0.0,0.0,0.0,0.0
2017,NGA0377536348,,2.0,3.0,108402.0,108402.0,75223.0,69.39,1.0,1.0,1.0
2018,NGA0377536348,,2.0,3.0,111112.0,111112.0,82264.0,74.04,2.0,2.0,1.0
2019,NGA0377536348,,2.0,3.0,113890.0,113890.0,81512.0,71.57,3.0,3.0,1.0
2020,NGA0377536348,,2.0,1.0,116515.0,116515.0,0.0,0.0,3.0,3.0,0.0
2021,NGA0377536348,0.0,2.0,3.0,119532.0,119532.0,80901.0,67.68,4.0,4.0,1.0
2022,NGA0377536348,0.0,2.0,3.0,122647.0,122647.0,81385.0,66.36,5.0,5.0,1.0
2023,NGA0377536348,,1.0,4.0,125713.0,0.0,0.0,0.0,5.0,5.0,0.0
