country,iso2,admin1,iuName,iuId,iuCode,year,pgm,popTotal,popPreSac,popSac,popAdults,endLf,popReqPc,popNoTx,mda,epiEffMda,epiEffMdaN,cumMda,mdaScheme,mdaDrugs,ia,mdaLast,surveyLast,endemicityId
Nigeria,NG,Abia,Ikwuano,36341,NGA0377536341,2023,1.0237,209221,33476,58582,108794,"Endemic (under post-intervention surveillance)",0,209221,0,0,0,10,NR,NR,TAS2,2021,2026,3
Nigeria,NG,Abia,Ikwuano,36341,NGA0377536341,2024,1.0237,214177,34269,59970,111371,"Endemic (under post-intervention surveillance)",0,214177,0,0,0,10,NR,NR,NR,2021,2026,3
Nigeria,NG,Abia,"Isiala-Ngwa South",36343,NGA0377536343,2024,1.0237,209162,33466,58565,108765,"Endemic (under post-intervention surveillance)",0,209162,0,0,0,11,NR,NR,TAS2,2022,2027,3
Nigeria,NG,Abia,"Isiala-Ngwa South",36343,NGA0377536343,2025,1.0237,214117,34259,59952,111342,"Endemic (under post-intervention surveillance)",0,214117,0,0,0,11,NR,NR,NR,2022,2027,3
Nigeria,NG,Abia,"Umuahia South",36353,NGA0377536353,2023,1.0237,210095,33615,58827,109250,"Endemic (under post-intervention surveillance)",0,210095,0,0,0,11,NR,NR,NR,2022,2027,3
Nigeria,NG,Abia,"Umuahia South",36353,NGA0377536353,2024,1.0237,215072,34411,60221,111838,"Endemic (under post-intervention surveillance)",0,215072,0,0,0,11,NR,NR,TAS2,2022,2027,3
Nigeria,NG,Adamawa,Girei,36357,NGA0377636357,2026,1.0237,211437,33830,59202,109948,"Endemic (under post-intervention surveillance)",0,211437,0,0,0,11,NR,NR,NR,2022,2027,3
Nigeria,NG,Adamawa,Gombi,36358,NGA0377636358,2021,1.0237,211854,33897,59319,110164,"Endemic (MDA not delivered)",211854,0,0,0,4,10,"MDA 1",ALB_IVM,NR,2023,2028,26
Nigeria,NG,Adamawa,Madagali,36363,NGA0377636363,2024,1.0237,209264,33482,58594,108817,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Adamawa,Madagali,36363,NGA0377636363,2025,1.0237,214221,34275,59982,111395,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Adamawa,"Mubi South",36368,NGA0377636368,2026,1.0237,209715,33556,58720,109051,"Endemic (under post-intervention surveillance)",0,209715,0,0,0,6,NR,NR,TAS2,2024,2029,3
Nigeria,NG,Adamawa,"Mubi South",36368,NGA0377636368,2027,1.0237,214683,34351,60111,111634,"Endemic (under post-intervention surveillance)",0,214683,0,0,0,6,NR,NR,NR,2024,2029,3
Nigeria,NG,Adamawa,Shelleng,36370,NGA0377636370,2021,1.0237,215674,34508,60389,112150,"Endemic (MDA not delivered)",215674,0,0,0,4,7,"MDA 1",ALB_IVM,NR,2023,2028,26
Nigeria,NG,"Akwa Ibom",Abak,36375,NGA0377736375,2023,1.0237,210883,33742,59047,109660,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Abak,36375,NGA0377736375,2024,1.0237,215879,34541,60446,112258,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Ibesikpo Asutan",36383,NGA0377736383,2024,1.0237,212792,34047,59583,110653,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Ikono,36386,NGA0377736386,2025,1.0237,209577,33531,58682,108981,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Ikono,36386,NGA0377736386,2026,1.0237,214542,34325,60072,111563,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Ikot Abasi",36387,NGA0377736387,2025,1.0237,209765,33563,58734,109078,"Endemic (under post-intervention surveillance)",0,209765,0,0,0,14,NR,NR,NR,2022,2027,3
Nigeria,NG,"Akwa Ibom","Ikot Abasi",36387,NGA0377736387,2026,1.0237,214734,34358,60125,111662,"Endemic (under post-intervention surveillance)",0,214734,0,0,0,14,NR,NR,NR,2022,2027,3
Nigeria,NG,"Akwa Ibom","Ikot Ekpene",36388,NGA0377736388,2022,1.0237,211909,33906,59334,110193,"Endemic (under post-intervention surveillance)",0,211909,0,0,0,8,NR,NR,NR,2021,2026,3
Nigeria,NG,"Akwa Ibom",Itu,36390,NGA0377736390,2027,1.0237,211514,33842,59225,109987,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Nsit Ubiom",36395,NGA0377736395,2027,1.0237,213508,34161,59782,111024,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom","Obot Akara",36396,NGA0377736396,2021,1.0237,214534,34325,60070,111558,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Onna,36398,NGA0377736398,2028,1.0237,210286,33648,58880,109349,"Endemic (under post-intervention surveillance)",0,210286,0,0,0,12,NR,NR,NR,2021,2026,3
Nigeria,NG,"Akwa Ibom",Onna,36398,NGA0377736398,2029,1.0237,215268,34445,60275,111939,"Endemic (under post-intervention surveillance)",0,215268,0,0,0,12,NR,NR,Surveillance,2021,2026,3
Nigeria,NG,"Akwa Ibom",Ukanafun,36402,NGA0377736402,2027,1.0237,211514,33842,59225,109987,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,"Akwa Ibom",Uruan,36403,NGA0377736403,2030,1.0237,211306,33808,59166,109878,"Endemic (under post-intervention surveillance)",0,211306,0,0,0,9,NR,NR,NR,2021,2026,3
Nigeria,NG,Anambra,Njikoka,36418,NGA0377836418,2021,1.0237,214800,34368,60144,111696,"Endemic (MDA not delivered)",214800,0,0,0,6,9,"MDA 1",ALB_IVM,TAS1,2021,2026,26
Nigeria,NG,Anambra,"Onitsha North",36422,NGA0377836422,2028,1.0237,212960,34072,59629,110740,"Endemic (under post-intervention surveillance)",0,212960,0,0,0,7,NR,NR,NR,2022,2027,3
Nigeria,NG,Anambra,"Onitsha South",36423,NGA0377836423,2024,1.0237,212111,33937,59391,110297,"Endemic (under post-intervention surveillance)",0,212111,0,0,0,7,NR,NR,NR,2023,2028,3
Nigeria,NG,Bauchi,Jama'are,36437,NGA0377936437,2030,1.0237,210553,33689,58954,109488,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Bauchi,Kirfi,36439,NGA0377936439,2021,1.0237,213566,34171,59798,111054,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Bayelsa,Nembe,36450,NGA0378036450,2026,1.0237,212959,34072,59629,110739,"Endemic (under post-intervention surveillance)",0,212959,0,0,0,6,NR,NR,NR,2025,2030,3
Nigeria,NG,Benue,"Gwer West",36462,NGA0378136462,2029,1.0237,213124,34101,59675,110824,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Benue,Ogbadibo,36469,NGA0378136469,2026,1.0237,209341,33495,58614,108857,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Benue,Ogbadibo,36469,NGA0378136469,2027,1.0237,214300,34288,60003,111436,Non-endemic,0,0,0,0,0,0,NR,NR,NR,0,0,0
Nigeria,NG,Borno,Askir/Uba,36479,NGA0378236479,2023,1.0237,209369,33499,58623,108871,Endemic,209369,0,1,1,3,3,"MDA 1",ALB_IVM,NR,2026,2031,26
Nigeria,NG,Borno,Askir/Uba,36479,NGA0378236479,2024,1.0237,214329,34293,60012,111450,Endemic,214329,0,1,1,4,4,"MDA 1",ALB_IVM,NR,2026,2031,26
